"14éme","14eme"
"15éme","15eme"
"17éme","17eme"
"19éme","19eme"
"3éme","3eme"
"4éme","4eme"
"5éme","5eme"
"6éme","6eme"
"8ième","8ieme"
"9éme","9eme"
"abaisse","abaisser"
"abaissement","abaisser"
"abandonne","abandonner"
"abandonné","abandonner"
"abandonnée","abandonner"
"abandonnées","abandonner"
"abandonnés","abandonner"
"abandons","abandon"
"abats","abattre"
"abattages","abattage"
"abattant","abattre"
"abattants","abattre"
"abattements","abattement"
"abattis","abattre"
"abattoirs","abattoir"
"abattues","abattre"
"abbaye-école","abbaye école"
"abbe","abbé"
"abbesse","abbé"
"abbesses","abbé"
"abbès","abbes"
"abbés","abbé"
"abeilles","abeille"
"ablations","ablation"
"abonnements","abonnement"
"abonné","abonnement"
"abonnée","abonnement"
"abonnées","abonnement"
"abonnés","abonnement"
"abordables","abordable"
"abordant","aborder"
"aborde","aborder"
"abordes","aborder"
"abordons","aborder"
"abordées","aborder"
"abordés","aborder"
"abouti","aboutir"
"aboutie","aboutir"
"aboutis","aboutir"
"aboutissant","aboutir"
"aboutissants","aboutir"
"aboutissent","aboutir"
"aboutit","aboutir"
"abrasifs","abrasif"
"abrasive","abrasif"
"abricots","abricot"
"abris","abri"
"abritait","abriter"
"abritant","abriter"
"abrite","abriter"
"abritent","abriter"
"abréviations","abréviation"
"absences","absence"
"absenteisme","absentéisme"
"absents","absent"
"absolue","absolu"
"absolues","absolu"
"absolus","absolu"
"absorba","absorber"
"absorbaient","absorber"
"absorbant","absorber"
"absorbante","absorber"
"absorbantes","absorber"
"absorbants","absorber"
"absorbe","absorber"
"absorbera","absorber"
"absorbé","absorber"
"absorbée","absorber"
"absorbées","absorber"
"absorbés","absorber"
"absorptions","absorption"
"abstractions","abstraction"
"abîmé","abîmer"
"abîmée","abîmer"
"abîmées","abîmer"
"abîmés","abîmer"
"acacias","acacia"
"académies","académie"
"académiques","académique"
"accalmies","accalmie"
"accents","accent"
"accentuant","accentuer"
"accentuation","accentuer"
"accepta","accepter"
"acceptables","acceptable"
"acceptant","accepter"
"acceptation","accepter"
"acceptations","accepter"
"accepte","accepter"
"acceptent","accepter"
"accepté","accepter"
"acceptée","accepter"
"acceptées","accepter"
"acceptés","accepter"
"accessibles","accessible"
"accessoires","accessoire"
"accessoiristes","accessoiriste"
"accidentelle","accidentel"
"accidentelles","accidentel"
"accidentels","accidentel"
"accidents","accident"
"accidentée","accidentées"
"accompagnaient","accompagner"
"accompagnais","accompagner"
"accompagnant","accompagner"
"accompagnateurs","accompagnateur"
"accompagnatrice","accompagnateur"
"accompagne","accompagner"
"accompagnement","accompagner"
"accompagnements","accompagner"
"accompagnent","accompagner"
"accompagné","accompagner"
"accompagnée","accompagner"
"accompagnées","accompagner"
"accompagnés","accompagner"
"accompli","accomplir"
"accomplie","accomplir"
"accomplies","accomplir"
"accomplis","accomplir"
"accomplissements","accomplissement"
"accomplit","accomplir"
"accord-cadre","accord cadrer"
"accordant","accorder"
"accorde","accorder"
"accords","accord"
"accords-cadres","accord cadrer"
"accordé","accorder"
"accordée","accorder"
"accordées","accorder"
"accordéons","accordéon"
"accordés","accorder"
"accotements","accotement"
"accouchements","accouchement"
