accompagnatrice,accompagner
accueillante,accueillant
acheteurs,acheteur
actives,active
adaptations,adaptation
adaptée,adapté
adaptées,adaptée
adaptés,adapté
administrateur,administrer
administration,administrer
administratives,administrative
administratrice,administrateur
administratrice,administratif
administratrice,administrer
affichage,afficher
agencement,agencer
agences,agence
aides,aide
ajustement,ajuster
alertes,alerte
alimentation,alimenter
alternatives,alternative
améliorations,amélioration
aménagement,aménager
analyses,analyse
analyseur,analyse
analyseur,analyser
anciennes,ancienne
animales,animale
animateur,animer
animateurs,animateur
animation,animer
animatrice,animateur
animatrice,animer
animé,animer
annonces,annonce
apporte,apport
approvisionnement,approvisionner
armée,armé
artisanales,artisanale
assemblage,assembler
assembleur,assemble
assembleur,assembler
assemblées,assemblée
assistante,assistant
assistantes,assistante
assistants,assistant
assistée,assisté
assistés,assisté
association,associer
associés,associé
assurés,assuré
audiovisuelles,audiovisuelle
auditives,auditive
auditrice,auditif
automatisée,automatisé
automatisées,automatisée
automatisés,automatisé
aériennes,aérienne
bases,base
blanches,blanche
bobines,bobine
bobineur,bobine
bobineuse,bobine
bobineuse,bobineur
bonnes,bonne
branches,branche
brodeur,broder
brodeuse,broder
bâtis,bâti
cadrage,cadrer
cadres,cadre
cales,cale
calibrage,calibrer
centrales,centrale
centres,centre
changement,changer
chargement,charger
charges,charge
chargée,chargé
chargés,chargé
chaudes,chaude
chauffeur,chauffe
chauffeuse,chauffe
chiffres,chiffre
chirurgicales,chirurgicale
cibles,cible
civiles,civile
classement,classer
classes,classe
clôtures,clôture
codes,code
coiffeuse,coiffe
collectives,collective
colles,colle
colorants,colorant
commandement,commander
commandes,commande
commerces,commerce
commerciales,commerciale
communes,commune
complétée,complété
complétés,complété
composants,composant
comptes,compte
compteur,compte
concepteur,concevoir
conception,concevoir
conceptrice,concepteur
conditionnement,conditionner
conduite,conduit
conduits,conduit
configuration,configurer
consultant,consulter
consultante,consultant
consultation,consulter
contaminés,contaminé
continue,continu
contrôleur,contrôle
contrôleur,contrôler
contrôleuse,contrôle
contrôleuse,contrôler
couches,couche
coupe,coup
coupes,coupe
coupeur,coupe
coupeuse,coupe
coupeuse,couper
course,cours
courte,court
courtes,courte
création,créer
cuire,cuir
cuisines,cuisine
culturelles,culturelle
câblages,câblage
câbles,câble
demandes,demande
demandée,demandé
demandées,demandée
demandés,demandé
dessinateur,dessiner
dessinatrice,dessiner
destinés,destiné
dirigeante,dirigeant
dirigeantes,dirigeante
dirigeants,dirigeant
dosage,doser
douces,douce
décorations,décoration
décoratives,décorative
découpes,découpe
découpeur,découpe
découpeur,découper
découpeuse,découpe
défectueuses,défectueuse
défilés,défilé
délivrée,délivré
délivrées,délivrée
délivrés,délivré
démarches,démarche
démarrage,démarrer
